21:16:43:404 [ALWAYS]	GUDE Logging Started
21:16:43:415 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:16:43:415 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:16:43:415 [ERROR]	Initialize resume cache pointer failure
21:16:43:415 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
21:16:43:415 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:16:45:223 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
21:16:45:223 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:16:45:223 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:16:45:223 [ERROR]	Initialize resume cache pointer failure
21:16:45:223 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
21:16:45:223 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
